Sentence,Entities,Document_ID,Entity_Texts,matched_entities
"We’re trying to do that in a way that sustains the strong growth we’re seeing, the strong labor market we’re seeing, but allows us to make further progress with inflation.","(('Inflation', -0.719),)",FOMCpresconf20240320.pdf,['Inflation'],"['maximum employment', 'Dual Mandate', 'Price Stability', 'Inflation', 'Monetary Policy']"
The U.S. banking system is sound and resilient.,"((' Banking System', 0),)",monetary20231213a1.pdf,[' Banking System'],"['Banking System', 'Financial Stability', 'Federal Reserve']"
"And I think the historical record, it’s—every situation is different, but the historical record is that you need to approach that question carefully and try to get it right the first time and not have to come back and raise rates again perhaps if you cut inappropriately— prematurely.","(('', ''),)",FOMCpresconf20240320.pdf,[''],[]
And so— STEVE LIESMAN.,"(('', ''),)",FOMCpresconf20240320.pdf,[''],[] 
CHAIR POWELL.,"(('', ''),)",FOMCpresconf20240320.pdf,[''],"['Chair', 'Powell']"
Credit availability for households with lower credit scores was considerably tighter at levels comparable with what prevailed before the pandemic.,"(('Credit', -0.7), ('Finance', -0.6), ('Economy', -0.5), ('Pandemic', 0.0))",fomcminutes20221214.pdf,"['Credit', 'Finance', 'Economy', 'Pandemic']",['Pandemic']
Conduct standing overnight reverse repurchase agreement operations at an offering rate of 5.3 percent and with a per-counterparty limit of $160 billion per day.,"(('', ''),)",monetary20240731a1.pdf,[''],"['repurchase agreement', 'Overnight Rate', 'Repurchase Agreement (repo) Rates', 'Repo Markets']"
But not every day and in every way.,"(('', ''),)",FOMCpresconf20240320.pdf,[''],[]
"With progress on vaccinations and strong policy support, indicators of economic activity and employment have continued to strengthen.","(('Employment', -0.926), ('Economy', -0.926),)",monetary20211103a1.pdf,"['Employment', 'Economy']","['Development', 'Economic outlook', 'Employment']"
"Of course, initial claims are very, very low and, if anything, have tracked down a little bit.","(('', ''),)",FOMCpresconf20240320.pdf,[''],[]
"That’s how we can best serve the public and leave the other issues, which in many cases are incredibly important, such as those you mentioned, leave those to the people who have responsibility for those.","(('', ''),)",FOMCpresconf20240320.pdf,[''],[]
"It isn’t—it wasn’t so much in the banking system as it was around, for example, where federal funds are trading relative to the administered rates and where secured rates are relative to the administered rates.","(('Regulatory Implementation', 0),)",FOMCpresconf20240320.pdf,['Regulatory Implementation'],"['Federal Funds Rate', 'Federal Funds Target', 'Interest Rates', 'Monetary Policy', 'Federal Reserve']"
"Nominal nonresidential construction spending rose somewhat in January, but investment in nonresidential structures out- side of the drilling and mining sector looked to remain weak in the current quarter after declining further in the fourth quarter, reflecting continued hesitation by busi- nesses to commit to building projects with lengthy times to completion and uncertain future returns.","(('Investment',-0.9),('('Growth',-0.33)( 'Economy',-0.33)，（‘Expectation’，-0.66）,（'Risk'),-0.66)",fomcminutes20210317.pdf,[],['Cyclically Sensitive Sectors']
"So you have a, you know, a slower pace of runoff, which we’ll have fairly soon.","(('Asset Runoff', 0),)",FOMCpresconf20240320.pdf,['Asset Runoff'],['Asset Runoff']
Steve Matthews with Bloomberg.,"(('', ''),)",FOMCpresconf20240320.pdf,[''],[]
standing.,,fomcminutes20210317.pdf,[],[]
"By contrast, the employment cost index of total hourly compensation in the private sector rose 2.6 percent over the 12 months of last year, and a staff estimate of the 12-month change in the median wage derived from the ADP data was 3.2 percent in Jan- uary.","(('Employment',0.33),( 'Average Hourly Earnings',0.5))",fomcminutes20210317.pdf,"['Employment', 'Average Hourly Earnings']","['Average Hourly Earnings', 'Labor Market']"
"In our SEP, FOMC participants wrote down their individual assessments of an appropriate path for the federal funds rate based on what each participant judges to be the most likely scenario going forward.","(('Federal Reserve', 0.701), ('Interest Rates', 0.854),)",FOMCpresconf20240320.pdf,"['Federal Reserve', 'Interest Rates']","['Federal Open Market Committee(FOMC)', 'Federal Funds Target', 'Federal Funds Rate']"
"Based on discussions with District con- tacts as well as a survey of firms’ chief financial officers, some participants commented that while businesses were generally optimistic about their own prospects, they expressed increasing concern about the general eco- nomic outlook for 2023.","(('Expectation', -0.3), ('Economy', -0.4), ('Growth', -0.3))",fomcminutes20221214.pdf,"['Expectation', 'Economy', 'Growth']","['Economic outlook', 'Expectation', 'Uncertain', 'Risk', 'Cyclically Sensitive Sectors']"
"On a four-quarter change basis, total PCE price inflation was expected to be 5.5 percent in 2022, while core infla- tion was expected to be 4.7 percent, both lower than in the November projection.","(('Inflation', 0.5), ('Personal Consumption Expenditures (PCE)', 0.5), ('Expectation', 0.4))",fomcminutes20221214.pdf,"['Inflation', 'Personal Consumption Expenditures (PCE)', 'Expectation']","['Personal Consumption Expenditures (PCE)', 'Inflation']"
"Inflation is elevated, largely reflecting factors that are expected to be transitory.","(('Inflation', -0.49), ('Transitory', -0.49),)",monetary20211103a1.pdf,"['Inflation', 'Transitory']","['Inflation', 'Transitory', 'maximum employment', 'Price Stability', 'Personal Consumption Expenditures (PCE)']"
Infla- tion continued to run below 2 percent.,"(('Inflation',-0.66))",fomcminutes20210317.pdf,[],[]
"In addition to changes to the ON RRP parameters, the deputy manager also noted that the Federal Reserve could consider adjusting its administered rates if undue downward pressure on overnight rates emerged.","(('Repurchase Agreement (repo) Rates',0),( 'Overnight Rate',-0.5))",fomcminutes20210317.pdf,"['Repurchase Agreement (repo) Rates', 'Overnight Rate']","['Overnight Reverse Repurchase Agreement (ON RRP)', 'Federal Funds Rate', 'domestic policy directive', 'Overnight Rate', 'Federal Funds Target']"
That’s really what I was thinking.,"(('', ''),)",FOMCpresconf20240320.pdf,[''],[]
You’re seeing big increases in supply.,"(('Trade', 1),)",FOMCpresconf20240320.pdf,['Trade'],[]
"The—if you look at the incoming inflation data that we’ve had for January and February, I think very broadly that suggests that we were right to wait until we’re more confident.","(('Inflation', 0.33),)",FOMCpresconf20240320.pdf,['Inflation'],['Price Stability']
"The Board of Governors also voted unan- imously to approve establishment of the primary credit rate at the existing level of 0.25 percent, effective March 18, 2021.","((''credit ''),)",fomcminutes20210317.pdf,[],['Board']
"Overall, the credit quality of mu- nicipalities remained robust amid strong revenues at state and local governments.","(('Credit', 0.8), ('Finance', 0.7), ('Economy', 0.7))",fomcminutes20221214.pdf,"['Credit', 'Finance', 'Economy']",['Credit']
Several participants commented that they saw diminished risks of severe dis- ruption from the European Union’s embargo and the Group of Seven’s price cap on Russian oil exports.,"(('Risk', 0.6), ('Energy Prices', 0.4), ('Economy', 0.3))",fomcminutes20221214.pdf,"['Risk', 'Energy Prices', 'Economy']",[]
"o Engage in dollar roll and coupon swap transactions as necessary to facilitate settlement of the Federal Reserve's agency MBS transactions.""","(('Federal Reserve', 0.84), ('Securities', 0.84), ('MBS', 0.84),)",monetary20250129a1.pdf,"['Federal Reserve', 'Securities', 'MBS']","['SOMA', 'Interest on Excess Reserves (IOER)', 'Treasury Securities', 'Repurchase Agreement (repo) Rates']"
"In the near term, the 12-month change in PCE prices was expected to move above 2 percent as the low inflation readings from the spring of last year drop out of the calculation.","(('Inflation',-0.66),('Price Stability',-0.99),('Personal Consumption Expenditures (PCE)',0))",fomcminutes20210317.pdf,"['Inflation', 'Price Stability', 'Personal Consumption Expenditures (PCE)']","['Personal Consumption Expenditures (PCE)', 'Inflation']"
"The economic outlook is uncertain, and the Committee is attentive to the risks to both sides of its dual mandate.","(('Federal Reserve', 0.58), ('Economy', 0.565),)",monetary20240731a1.pdf,"['Federal Reserve', 'Economy']","['Uncertain', 'Risk', 'Dual Mandate', 'Economic outlook']"
"Consistent with the decline in volatility, model-based measures suggested that a drop in term premiums accounted for much of the decline in Treasury yields over the period.","(('Interest Rates', -0.05), ('Yields', -0.05))",fomcminutes20221214.pdf,"['Interest Rates', 'Yields']","['Term Premium', 'Treasury Securities']"
Participants recognized that Russia’s war against Ukraine was causing tremendous human and economic hardship.,"(('War', -0.9), ('Economy', -0.7), ('Risk', -0.7))",fomcminutes20221214.pdf,"['War', 'Economy', 'Risk']",['War']
"Thank you, Chair Powell.","(('', ''),)",FOMCpresconf20240320.pdf,[''],"['Chair', 'Powell']"
"In addition, the volume of nonfinancial corpo- rate credit rating upgrades modestly outpaced down- grades over the first two months of 2021.","(('Credit', 0.33),('Economy', 0.33),('Expectation', 0.33))",fomcminutes20210317.pdf,"['Credit', 'Economy', 'Expectation']",[]
"And then it would be very hard to restart, we think.","(('', ''),)",FOMCpresconf20240320.pdf,[''],[]
"Inflation remained el- evated, reflecting supply and demand imbalances related to the pandemic, higher food and energy prices, and broader price pressures.","(('Inflation', -0.8), ('Pandemic', -0.6), ('Demand', -0.5), ('Energy Prices', -0.6), ('Economy', -0.6))",fomcminutes20221214.pdf,"['Inflation', 'Pandemic', 'Demand', 'Energy Prices', 'Economy']","['Inflation', 'Price Stability', 'Transitory', 'Energy Prices', 'Monetary Policy']"
"The manager pro tem noted that if transitory pressures emerged in money markets, the Federal Reserve’s backstop facilities are available to support effective policy implementation and smooth market functioning.","(('Federal Reserve', 0.10), ('Monetary Policy', 0.10), ('Money Markets', -0.05))",fomcminutes20221214.pdf,"['Federal Reserve', 'Monetary Policy', 'Money Markets']","['Federal Reserve', 'Monetary Policy', 'domestic policy directive', 'Overnight Reverse Repurchase Agreement (ON RRP)', 'Reserves']"
"At this meeting, we discussed issues related to slowing the pace of decline in our securities holdings.","(('', ''),)",FOMCpresconf20240320.pdf,[''],"['Financial Markets', 'Cyclically Sensitive Sectors']"
"So that—our, our longer-run goal is to return to a balance sheet that is mostly Treasuries.","(('Balance Sheet', 0),('Treasury Securities',0))",FOMCpresconf20240320.pdf,"['Balance Sheet', 'Treasury Securities']","['Balance Sheet', 'Asset Runoff', 'Treasury Securities', 'Balance', 'Reinvestment']"
This information will be updated as appropriate to reflect decisions of the Federal Open Market Committee or the Board of Governors regarding details of the Federal Reserve's operational tools and approach used to implement monetary policy.,"(('Federal Reserve', 0.925), ('Monetary Policy', 0.909), ('Federal Open Market Committee(FOMC)', 0.925),)",monetary20250129a1.pdf,"['Federal Reserve', 'Monetary Policy', 'Federal Open Market Committee(FOMC)']","['domestic policy directive', 'Federal Reserve', 'Board', 'Federal Open Market Committee(FOMC)', 'Monetary Policy']"
The Committee seeks to achieve maximum employment and inflation at the rate of 2 percent over the longer run.,"(('Federal Reserve', 0.597), ('Inflation', 0.66), ('Employment', 0.648),)",ARP_07.2023.pdf,"['Federal Reserve', 'Inflation', 'Employment']","['maximum employment', 'Dual Mandate', 'Federal Open Market Committee(FOMC)', 'Inflation']"
"C&I loans continued to grow in October and November but decelerated relative to the third-quarter pace, moderating the robust rate of growth observed earlier this year.","(('Economy', 0.32))",fomcminutes20221214.pdf,[],[]
"For commercial real estate (CRE) financed through cap- ital markets, financing conditions remained accommo- dative over the intermeeting period.","(('Economy',0.33),('Expectation', 0.33))",fomcminutes20210317.pdf,"['Economy', 'Expectation']","['Market Liquidity', 'Money Market', 'Asset Runoff', 'Finance']"
"The longer-run projections represented each participant’s assessment of the rate to which each variable would be expected to converge, over time, un- der appropriate monetary policy and in the absence of further shocks to the economy.","(('Expectation', 0.4), ('Monetary Policy', 0.3), ('Economy', 0.3))",fomcminutes20221214.pdf,"['Expectation', 'Monetary Policy', 'Economy']","['Economic outlook', 'Monetary Policy', 'domestic policy directive']"
A couple of participants remarked that excess savings likely would continue to support con- sumption spending for a while.,"(('Expectation', 0.5), ('Growth', 0.4), ('Economy', 0.4))",fomcminutes20221214.pdf,"['Expectation', 'Growth', 'Economy']",[]
"Alongside the rise in U.S. yields, broad U.S. equity price indexes increased moderately, with the largest gains in cyclically sensitive sectors.","(('Federal Open Market Committee(FOMC)', 0), ('Yields', 0.9),('Cyclically Sensitive Sectors',1))",fomcminutes20210317.pdf,"['Federal Open Market Committee(FOMC)', 'Yields', 'Cyclically Sensitive Sectors']","['Yields', 'Financial Markets']"
"Participants generally noted that the Commit- tee’s future decisions regarding policy would continue to be informed by the incoming data and their implications for the outlook for economic activity and inflation, and that the Committee would continue to make decisions meeting by meeting.","(('Monetary Policy', 0.6), ('Expectation', 0.5), ('Economy', 0.5), ('Inflation', 0.4))",fomcminutes20221214.pdf,"['Monetary Policy', 'Expectation', 'Economy', 'Inflation']","['Press Conference', 'Economic outlook', 'Expectation']"
Members anticipated that ongoing increases in the target range would be ap- propriate in order to attain a stance of monetary policy that is sufficiently restrictive to return inflation to 2 per- cent over time.,"(('Inflation', -0.152), ('Monetary Policy', 0.627),)",fomcminutes20221214.pdf,"['Inflation', 'Monetary Policy']","['Inflation', 'domestic policy directive', 'Dual Mandate', 'Monetary Policy', 'Price Stability']"
The Committee is attentive to the risks to both sides of its dual mandate and judges that the risks of higher unemployment and higher inflation have risen.,"(('Federal Reserve', 0.534), ('Inflation', -0.298), ('Unemployment', -0.593), ('Risk', 0.534), ('Dual Mandate', 0.534),)",monetary20250507a1.pdf,"['Federal Reserve', 'Inflation', 'Unemployment', 'Risk', 'Dual Mandate']",['Dual Mandate']
"The Board of Governors of the Federal Reserve System voted unanimously to maintain the interest rate paid on required and excess reserve balances at 0.10 percent, effective April 30, 2020.","(('Federal Reserve', 0.0), ('Interest Rates', 0.0), ('Monetary Policy', 0.0), ('Reserve', 0.0))",ARP_04.2020.pdf,"['Federal Reserve', 'Interest Rates', 'Monetary Policy', 'Reserve']","['Federal Funds Rate', 'Interest on Excess Reserves (IOER)', 'Board', 'Interest Rates', 'Federal Reserve']"
"In particular, the concentration of job losses among lower-wage workers since early last year had resulted in outsized increases in average hourly earnings and com- pensation per hour that were not indicative of tight labor market conditions.","(('Average Hourly Earnings',-0.1),( 'Employment',-0.5))",fomcminutes20210317.pdf,"['Average Hourly Earnings', 'Employment']","['Average Hourly Earnings', 'Labor Market', 'Unemployment', 'HIRE', 'Employment']"
"March 20, 2024 Chair Powell’s Press Conference FINAL Page 3 of 24 The Committee decided at today’s meeting to maintain the target range for the federal funds rate at 5¼ to 5½ percent and to continue the process of significantly reducing our securities holdings.","(('Federal Reserve', 0.812),)",FOMCpresconf20240320.pdf,['Federal Reserve'],"['Federal Funds Target', 'Powell', 'Federal Open Market Committee(FOMC)', 'Chair', 'Federal Funds Rate']"
"We’ll look at the totality of the data, including everything essentially as we make that assessment.","(('', ''),)",FOMCpresconf20240320.pdf,[''],[]
"We’re looking at what would be a good time and what would be a good structure, and “fairly soon” is words that we use to mean fairly soon.","(('', ''),)",FOMCpresconf20240320.pdf,[''],[]
"o Allow modest deviations from stated amounts for reinvestments, if needed for operational reasons.","(('Monetary Policy', 0.0), ('Reinvestments', 0.0))",monetary20220504a1.pdf,"['Monetary Policy', 'Reinvestments']","['Reinvestment', 'Market Liquidity']"
Developments in Financial Markets and Open Market Operations The manager turned first to a discussion of financial market developments.,"(('', ''),)",fomcminutes20210317.pdf,[''],"['Financial Markets', 'Equity Markets', 'Market Liquidity', 'Bond Market', 'Finance', 'Finance', 'Financial Markets', 'Money Market', 'Bond Market']"
"For media inquiries, please email media@frb.gov or call 202-452-2955.","(('', ''),)",ARP_07.2023.pdf,[''],['Press Conference']
"Job gains have been robust in recent months, and the unemployment rate has remained low.","(('Employment', -0.929), ('Unemployment', -0.629),)",ARP_07.2023.pdf,"['Employment', 'Unemployment']","['Unemployment', 'maximum employment']"
"In addition, inflation was forecast to be temporarily boosted this year by the expected emergence of some production bottlenecks and supply constraints.","(('Inflation',0.33),('Expectation',0.33),('Risk', -0.2))",fomcminutes20210317.pdf,"['Inflation', 'Expectation', 'Risk']","['Inflation', 'Price Stability', 'Transitory', 'Economic outlook', 'maximum employment']"
"Fi- nancing conditions for businesses with access to capital markets and households with high credit scores re- mained broadly accommodative, but conditions stayed tight for other borrowers.",,fomcminutes20210317.pdf,[],"['Financial Stability', 'Credit', 'Mortgage-Backed Securities', 'Federal Funds Target', 'Mortgage']"
Both market- and survey-based measures con- tinued to point to expectations for a moderation of in- flation over the coming year.,"(('Inflation', 0.10))",fomcminutes20221214.pdf,[],[]
There were no intervention operations in foreign currencies for the System’s account during the intermeeting period.,"(('Monetary Policy', 0.0), ('Countries', 0.0), ('Foreign Currencies', 0.0))",fomcminutes20221214.pdf,"['Monetary Policy', 'Countries', 'Foreign Currencies']",['Foreign Currencies']
Redeem Treasury coupon securities up to this monthly cap and Treasury bills to the extent that coupon principal payments are less than the monthly cap.,"(('Securities', 0),)",monetary20250507a1.pdf,['Securities'],"['Treasury Securities', 'Repurchase Agreement (repo) Rates', 'Bond Market', 'Repo Markets']"
We are fully committed to returning inflation to our 2 percent goal.,"(('Inflation', -0.716),)",FOMCpresconf20240320.pdf,['Inflation'],"['Dual Mandate', 'Monetary Policy', 'Price Stability', 'Inflation', 'maximum employment']"
"Then, though, you reach a point ultimately where you stop allowing the balance sheet to run off and you—but then, from that point, there’s another period in which nonreserves—nonreserve liabilities grow organically, like currency, and that also shrinks the reserves at a very slow pace.","(('Balance Sheet', 0),)",FOMCpresconf20240320.pdf,['Balance Sheet'],"['Asset Runoff', 'Balance Sheet', 'Balance', 'Reserves', 'Interest on Excess Reserves (IOER)']"
Many participants highlighted that the Committee needed to continue to balance two risks.,"(('', ''),)",fomcminutes20221214.pdf,[''],['Risk']
"Amid stable market conditions, there was no take-up in the Money Market Mutual Fund Liquidity Fa- cility or the Commercial Paper Funding Facility.","(('Money Market',0.66),('Risk',0.33),",fomcminutes20210317.pdf,[],"['Market Liquidity', 'Money Market', 'Asset Runoff']"
Can you reconcile these views for me?,"(('', ''),)",FOMCpresconf20240320.pdf,[''],[]
"The revised FOIA rules, which include a range of minor and technical updates, will become effective 30 days after the forthcoming pub- lication of the final rule in the Federal Register.","(('Regulatory Implementation', 0))",fomcminutes20210317.pdf,[],[]
Staff indicated that they would con- tinue to monitor money market conditions closely as bal- ance sheet reduction proceeds.,"(('Monetary Policy', 0.0), ('Money Market', 0.0), ('Balance Sheet', 0.24))",fomcminutes20221214.pdf,"['Monetary Policy', 'Money Market', 'Balance Sheet']",[]
"Moreover, additional federal support for state and local governments included in the ARP, along with an improved outlook for state and local tax reve- nues, pointed to further notable increases in state and local purchases. Data for December and January showed a narrower nominal U.S. international trade deficit than in Novem- ber.","(('Fiscal Policy',0.66),( 'Expectation',0.33),('Economy',0.33),('Growth',0.33))",fomcminutes20210317.pdf,"['Fiscal Policy', 'Expectation', 'Economy', 'Growth']",['Trade']
"The sectors most adversely affected by the pandemic have improved in recent months, but the summer’s rise in COVID-19 cases has slowed their recovery.","(('Coronavirus', 0),)",monetary20211103a1.pdf,['Coronavirus'],['Pandemic']
This information will be updated as appropriate to reflect decisions of the Federal Open Market Committee or the Board of Governors regarding details of the Federal Reserve's operational tools and approach used to implement monetary policy.,"(('Federal Reserve', 0), ('Monetary Policy', 0))",ARP_07.2023.pdf,"['Federal Reserve', 'Monetary Policy']","['domestic policy directive', 'Federal Reserve', 'Board', 'Federal Open Market Committee(FOMC)', 'Monetary Policy']"
"After narrowing in the third quarter, the nominal U.S. international trade deficit widened in October.","(('Trade', -0.35), ('Economy', -0.25), ('GDP', -0.25), ('Countries', 0.0))",fomcminutes20221214.pdf,"['Trade', 'Economy', 'GDP', 'Countries']",['Trade']
"Auto loan balances continued to grow in January, while credit card balances declined.","(('Credit',-0.66),('Risk', -0.33))",fomcminutes20210317.pdf,"['Credit', 'Risk']",[]
The information available at the time of the Decem- ber 13–14 meeting suggested that U.S. real gross domes- tic product (GDP) was increasing at a modest pace in the fourth quarter of 2022 after expanding strongly in the third quarter.,"(('GDP', 0.36), ('Countries', 0.0), ('Economy', 0.34))",fomcminutes20221214.pdf,"['GDP', 'Countries', 'Economy']","['Growth', 'GDP', 'Cyclically Sensitive Sectors']"
"As of February, payroll employment had re- traced somewhat more than half of the losses seen since the onset of the pandemic.","(('Employment',0.66),( 'Pandemic',-0.2))",fomcminutes20210317.pdf,"['Employment', 'Pandemic']","['Pandemic', 'Average Hourly Earnings']"
"My colleagues and I are acutely aware that high inflation imposes significant hardship as it erodes purchasing power, especially for those least able to meet the higher costs of essentials like food, housing, and transportation.","(('Inflation', 0.429),)",FOMCpresconf20240320.pdf,['Inflation'],"['Inflation', 'maximum employment', 'Price Stability', 'Transitory', 'Dual Mandate']"
"Market depth became thin, and bid-ask spreads widened, but Treasury market liquidity gradually recov- ered over the following days.","(('Market Liquidity',-0.33), ('Risk',-0.5))",fomcminutes20210317.pdf,"['Market Liquidity', 'Risk']","['Market Liquidity', 'auction']"
Inflation remains elevated.,"(('Inflation', -0.481),)",ARP_07.2023.pdf,['Inflation'],"['Inflation', 'maximum employment', 'Price Stability', 'Transitory', 'Personal Consumption Expenditures (PCE)']"
"Investors reacted positively to news of an easing of COVID restrictions in China, which drove risky asset prices significantly higher despite near-term challenges associated with the health policy shift.","(('Countries', 0.0), ('Pandemic', 0.66), ('Risk', -0.55), ('Economy', 0.65), ('Financial Markets', 0.64), ('Pandemic', 0.05))",fomcminutes20221214.pdf,"['Countries', 'Pandemic', 'Risk', 'Economy', 'Financial Markets', 'Pandemic']","['Pandemic', 'Risk']"
"Real goods imports rose, driven by increases in imports of industrial supplies, which more than offset declines in imports of capital goods and consumer goods.","(('Trade', 0.05), ('Economy', 0.05), ('GDP', 0.02), ('Countries', 0.0))",fomcminutes20221214.pdf,"['Trade', 'Economy', 'GDP', 'Countries']","['Trade', 'Inflation']"
"Assets under management (AUM) of government money market funds (MMFs) rose over the intermeeting period, whereas AUM of prime MMFs declined somewhat.","(('Money Market',0.33),('Risk',-0.33))",fomcminutes20210317.pdf,"['Money Market', 'Risk']","['Money Market', 'Finance', 'Federal Funds Rate', 'Market Liquidity']"
Consumer price inflation through January—as measured by the 12-month percentage change in the price index for personal consumption expenditures (PCE)—re- mained well below 2 percent.,"(('Price Stability',0),( 'Inflation',-0.9))",fomcminutes20210317.pdf,"['Price Stability', 'Inflation']","['Personal Consumption Expenditures (PCE)', 'Inflation', 'Price Stability', 'Demand']"
"On balance, the unemployment rate for Af- rican Americans edged down over those two months, while the unemployment rate for Hispanics increased slightly; the unemployment rates for both groups re- mained above the national measure.","(('Unemployment', -0.32), ('Labor Market', -0.27), ('Economy', -0.15))",fomcminutes20221214.pdf,"['Unemployment', 'Labor Market', 'Economy']",['Unemployment']
"In support of these goals, members agreed to raise the target range for the federal funds rate to 4¼ to 4½ percent.","(('Federal Reserve', 0),)",fomcminutes20221214.pdf,['Federal Reserve'],"['Federal Funds Target', 'Federal Funds Rate', 'Federal Open Market Committee(FOMC)']"
"Participants observed that the labor market had re- mained very tight, with the unemployment rate near a historically low level, robust payroll gains, a high level of job vacancies, and elevated nominal wage growth.","(('Labor Market', 0.8), ('Unemployment', 0.8), ('Employment', 0.8), ('Economy', 0.7))",fomcminutes20221214.pdf,"['Labor Market', 'Unemployment', 'Employment', 'Economy']","['Labor Market', 'Unemployment', 'HIRE', 'maximum employment', 'Employment']"
"The Committee anticipates that ongoing in- creases in the target range will be appropriate in 5 In taking this action, the Board approved requests to estab- lish that rate submitted by the Boards of Directors of the Fed- order to attain a stance of monetary policy that is sufficiently restrictive to return inflation to 2 percent over time.","(('Federal Reserve', 0.062), ('Inflation', 0.103), ('Monetary Policy', 0.149),)",fomcminutes20221214.pdf,"['Federal Reserve', 'Inflation', 'Monetary Policy']","['Federal Funds Target', 'domestic policy directive', 'Monetary Policy', 'Federal Open Market Committee(FOMC)', 'Price Stability']"
More information regarding open market operations and reinvestments may be found on the Federal Reserve Bank of New York’s website.,"(('Federal Reserve', 0.0), ('Reinvestments', 0.0))",ARP_04.2020.pdf,"['Federal Reserve', 'Reinvestments']","['Federal Open Market Committee(FOMC)', 'Federal Reserve', 'Equity Markets', 'Financial Markets', 'Reinvestment']"
"[that] you March 20, 2024 Chair Powell’s Press Conference FINAL","(('', ''),)",FOMCpresconf20240320.pdf,[''],"['Chair', 'Powell', 'Press Conference']"
"March 20, 2024 Chair Powell’s Press Conference FINAL Page 2 of 24","(('', ''),)",FOMCpresconf20240320.pdf,[''],"['Chair', 'Powell', 'Press Conference']"
Participants commented that higher mortgage interest rates had no- tably restrained housing activity and that they expected housing activity to remain weak.,"(('Mortgage', -0.7), ('Interest Rates', -0.7), ('Expectation', -0.6), ('Economy', -0.5))",fomcminutes20221214.pdf,"['Mortgage', 'Interest Rates', 'Expectation', 'Economy']",['Mortgage']
"Well, I think we broadly think that, once [take-up at] the overnight","(('', ''),)",FOMCpresconf20240320.pdf,[''],['Overnight Rate']
"The path of the economy will depend signifi- cantly on the course of the virus, including pro- gress on vaccinations.","(('Pandemic', -0.2), ('Risk', -0.1), ('Expectation', -0.1))",fomcminutes20210317.pdf,"['Pandemic', 'Risk', 'Expectation']",['Pandemic']
"Such a devel- opment, if it materialized, would make it much more costly to bring inflation down to achieve the Commit- tee’s statutory objectives of maximum employment and price stability.","(('Inflation', -0.8), ('Price Stability', -0.7), ('Dual Mandate', -0.7), ('Risk', -0.8))",fomcminutes20221214.pdf,"['Inflation', 'Price Stability', 'Dual Mandate', 'Risk']","['maximum employment', 'Price Stability', 'Dual Mandate', 'Inflation', 'Transitory']"
Thank you for taking our questions.,"(('', ''),)",FOMCpresconf20240320.pdf,[''],[]
"Broad stock price indexes increased, on net, over the in- termeeting period, consistent with increased investor optimism about the economic outlook and the enact- ment of the ARP.","(('Equity Price',0.8),('Expectation',0.5),('Economy',0.33),('Fiscal Policy',0.8))",fomcminutes20210317.pdf,"['Equity Price', 'Expectation', 'Economy', 'Fiscal Policy']","['Economic outlook', 'Financial Markets']"
