Sentence,Entities,Document_ID,Entity_Texts,SentenceWithContext,matched_entities
The U.S. banking system is sound and resilient.,"((' Banking System', 0),)",monetary20231213a1.pdf,[' Banking System'],"Inflation has eased over the past year but remains elevated. The U.S. banking system is sound and resilient. Tighter financial and credit conditions for households and businesses are likely to weigh on economic activity, hiring, and inflation.","['Inflation', 'Price Stability', 'maximum employment', 'Transitory', 'Banking System', 'Financial Stability', 'Federal Reserve', 'Cyclically Sensitive Sectors', 'Labor Market', 'Economic outlook', 'Financial Markets', 'Financial Stability']"
"And I think the historical record, it’s—every situation is different, but the historical record is that you need to approach that question carefully and try to get it right the first time and not have to come back and raise rates again perhaps if you cut inappropriately— prematurely.","(('', ''),)",FOMCpresconf20240320.pdf,[''],"It is very important for everyone that we serve that we do get inflation sustainably down. And I think the historical record, it’s—every situation is different, but the historical record is that you need to approach that question carefully and try to get it right the first time and not have to come back and raise rates again perhaps if you cut inappropriately— prematurely. Edward Lawrence with FOX Business.","['Price Stability', 'Inflation', 'maximum employment', 'Transitory', 'domestic policy directive']"
And so— STEVE LIESMAN.,"(('', ''),)",FOMCpresconf20240320.pdf,[''],"But nonetheless, we continue to make good progress on bringing inflation down. And so— STEVE LIESMAN. When you—just to follow up: When you say that you’re willing to either maintain the rate for longer, is—what is the tolerance of the Federal Reserve for inflation coming in above its 2 percent target?","['Price Stability', 'Inflation', 'maximum employment', 'Monetary Policy', 'domestic policy directive', 'Dual Mandate', 'Price Stability', 'Monetary Policy', 'Federal Reserve', 'Inflation']"
CHAIR POWELL.,"(('', ''),)",FOMCpresconf20240320.pdf,[''],"Is that because you anticipate one cut would be followed by one or two more along the lines of the recalibration you made in 2019, which itself was modeled on the mid-cycle adjustment of 1995? CHAIR POWELL. It’s more—I would put it more in the context of what I said in our— in my opening remarks that the risks are really two-sided here.","['Chair', 'Powell', 'Risk']"
Credit availability for households with lower credit scores was considerably tighter at levels comparable with what prevailed before the pandemic.,"(('Credit', -0.7), ('Finance', -0.6), ('Economy', -0.5), ('Pandemic', 0.0))",fomcminutes20221214.pdf,"['Credit', 'Finance', 'Economy', 'Pandemic']",Credit was readily available in the residential mortgage market for high-credit-score borrowers who met stand- ard conforming loan criteria. Credit availability for households with lower credit scores was considerably tighter at levels comparable with what prevailed before the pandemic. The number of home purchases and re- finance mortgage rate locks edged lower at subdued lev- els despite recent declines in mortgage interest rates.,"['Mortgage', 'Credit', 'Mortgage-Backed Securities', 'Pandemic', 'Mortgage', 'Mortgage-Backed Securities']"
Conduct standing overnight reverse repurchase agreement operations at an offering rate of 5.3 percent and with a per-counterparty limit of $160 billion per day.,"(('', ''),)",monetary20240731a1.pdf,[''],Conduct standing overnight repurchase agreement operations with a minimum bid rate of 5.5 percent and with an aggregate operation limit of $500 billion. Conduct standing overnight reverse repurchase agreement operations at an offering rate of 5.3 percent and with a per-counterparty limit of $160 billion per day. o Roll over at auction the amount of principal payments from the Federal Reserve's holdings of Treasury securities maturing in each calendar month that exceeds a cap of $25 billion per month.,"['repurchase agreement', 'Overnight Rate', 'Repurchase Agreement (repo) Rates', 'repurchase agreement', 'Overnight Rate', 'Repurchase Agreement (repo) Rates', 'Repo Markets', 'Treasury Securities', 'auction']"
But not every day and in every way.,"(('', ''),)",FOMCpresconf20240320.pdf,[''],"So I think it’s generally broadly helped and made things better. But not every day and in every way. Well, to follow up: Has there ever been a day where you wanted to put that genie back in the bottle somewhat?",[]
"With progress on vaccinations and strong policy support, indicators of economic activity and employment have continued to strengthen.","(('Employment', -0.926), ('Economy', -0.926),)",monetary20211103a1.pdf,"['Employment', 'Economy']","For release at 2 p.m. EDT November 3, 2021 The Federal Reserve is committed to using its full range of tools to support the U.S. economy in this challenging time, thereby promoting its maximum employment and price stability goals. With progress on vaccinations and strong policy support, indicators of economic activity and employment have continued to strengthen. The sectors most adversely affected by the pandemic have improved in recent months, but the summer’s rise in COVID-19 cases has slowed their recovery.","['Dual Mandate', 'Federal Reserve', 'domestic policy directive', 'Powell', 'Monetary Policy', 'Development', 'Economic outlook', 'Employment', 'Pandemic']"
"Of course, initial claims are very, very low and, if anything, have tracked down a little bit.","(('', ''),)",FOMCpresconf20240320.pdf,[''],"So that’s something we’re watching, but we’re not seeing it. Of course, initial claims are very, very low and, if anything, have tracked down a little bit. So—watching it carefully.",[]
"That’s how we can best serve the public and leave the other issues, which in many cases are incredibly important, such as those you mentioned, leave those to the people who have responsibility for those.","(('', ''),)",FOMCpresconf20240320.pdf,[''],"We’re trying to do that in a way that sustains the strong growth we’re seeing, the strong labor market we’re seeing, but allows us to make further progress with inflation. That’s how we can best serve the public and leave the other issues, which in many cases are incredibly important, such as those you mentioned, leave those to the people who have responsibility for those. There was another letter from two dozen lawmakers saying that the higher rates are squeezing the working people.","['maximum employment', 'Dual Mandate', 'Price Stability', 'Inflation', 'Monetary Policy']"
"It isn’t—it wasn’t so much in the banking system as it was around, for example, where federal funds are trading relative to the administered rates and where secured rates are relative to the administered rates.","(('Regulatory Implementation', 0),)",FOMCpresconf20240320.pdf,['Regulatory Implementation'],"And I think now we have a better sense of what are the indicators. It isn’t—it wasn’t so much in the banking system as it was around, for example, where federal funds are trading relative to the administered rates and where secured rates are relative to the administered rates. Those sorts of things.","['Federal Funds Rate', 'Federal Funds Target', 'Interest Rates', 'Monetary Policy', 'Federal Reserve']"
"Nominal nonresidential construction spending rose somewhat in January, but investment in nonresidential structures out- side of the drilling and mining sector looked to remain weak in the current quarter after declining further in the fourth quarter, reflecting continued hesitation by busi- nesses to commit to building projects with lengthy times to completion and uncertain future returns.","(('Investment',-0.9),('('Growth',-0.33)( 'Economy',-0.33)，（‘Expectation’，-0.66）,（'Risk'),-0.66)",fomcminutes20210317.pdf,[],"Business investment in the drilling and mining sector appeared to be increas- ing further after turning up sharply in the fourth quarter, as crude oil and natural gas rigs in operation—an indica- tor of drilling investment—continued to rise through early March with oil prices moving higher. Nominal nonresidential construction spending rose somewhat in January, but investment in nonresidential structures out- side of the drilling and mining sector looked to remain weak in the current quarter after declining further in the fourth quarter, reflecting continued hesitation by busi- nesses to commit to building projects with lengthy times to completion and uncertain future returns. Industrial production continued to rise solidly in January but then fell markedly in February, largely reflecting de- clines in manufacturing and mining sector output caused by severe winter weather in the south central region of the country in the middle of that month.","['Cyclically Sensitive Sectors', 'Cyclically Sensitive Sectors']"
"So you have a, you know, a slower pace of runoff, which we’ll have fairly soon.","(('Asset Runoff', 0),)",FOMCpresconf20240320.pdf,['Asset Runoff'],"Then, though, you reach a point ultimately where you stop allowing the balance sheet to run off and you—but then, from that point, there’s another period in which nonreserves—nonreserve liabilities grow organically, like currency, and that also shrinks the reserves at a very slow pace. So you have a, you know, a slower pace of runoff, which we’ll have fairly soon. Then you have another time where you effectively hold the March 20, 2024 Chair Powell’s Press Conference FINAL","['Asset Runoff', 'Balance Sheet', 'Balance', 'Reserves', 'Interest on Excess Reserves (IOER)', 'Asset Runoff', 'Chair', 'Powell', 'Press Conference']"
Steve Matthews with Bloomberg.,"(('', ''),)",FOMCpresconf20240320.pdf,[''],"That’s where I’ll leave it, though. Steve Matthews with Bloomberg. You mentioned at the beginning of the press conference that the Committee thought it might be appropriate to slow the pace of asset runoff fairly soon.",['Asset Runoff']
standing.,,fomcminutes20210317.pdf,[],Higher term premiums could reflect the outlook for more expansive fiscal policy and an associated upward revision in the expected path for Treasury debt out- standing. Increased uncertainty over the outlook for longer-term interest rates as well as technical factors may also have contributed to the rise in term premiums.,"['Term Premium', 'Fiscal Policy', 'Treasury Securities', 'Term Premium', 'Interest Rates', 'Expectation', 'Risk', 'Cyclically Sensitive Sectors']"
"By contrast, the employment cost index of total hourly compensation in the private sector rose 2.6 percent over the 12 months of last year, and a staff estimate of the 12-month change in the median wage derived from the ADP data was 3.2 percent in Jan- uary.","(('Employment',0.33),( 'Average Hourly Earnings',0.5))",fomcminutes20210317.pdf,"['Employment', 'Average Hourly Earnings']","In particular, the concentration of job losses among lower-wage workers since early last year had resulted in outsized increases in average hourly earnings and com- pensation per hour that were not indicative of tight labor market conditions. By contrast, the employment cost index of total hourly compensation in the private sector rose 2.6 percent over the 12 months of last year, and a staff estimate of the 12-month change in the median wage derived from the ADP data was 3.2 percent in Jan- uary. These measures are likely to have been less af- fected by changes in workforce composition, and they were rising more slowly than their pre-pandemic pace.","['Average Hourly Earnings', 'Labor Market', 'Unemployment', 'HIRE', 'Employment', 'Average Hourly Earnings', 'Labor Market', 'Pandemic', 'Cyclically Sensitive Sectors', 'Average Hourly Earnings']"
"In our SEP, FOMC participants wrote down their individual assessments of an appropriate path for the federal funds rate based on what each participant judges to be the most likely scenario going forward.","(('Federal Reserve', 0.701), ('Interest Rates', 0.854),)",FOMCpresconf20240320.pdf,"['Federal Reserve', 'Interest Rates']","We will continue to make our decisions meeting by meeting. In our SEP, FOMC participants wrote down their individual assessments of an appropriate path for the federal funds rate based on what each participant judges to be the most likely scenario going forward. If the economy evolves as projected, the median participant projects that the appropriate level of the federal funds rate will be 4.6 percent at the end of this March 20, 2024 Chair Powell’s Press Conference FINAL","['Federal Open Market Committee(FOMC)', 'Federal Funds Target', 'Federal Funds Rate', 'Powell', 'Chair', 'Federal Funds Rate', 'Federal Funds Target', 'Federal Open Market Committee(FOMC)']"
"Based on discussions with District con- tacts as well as a survey of firms’ chief financial officers, some participants commented that while businesses were generally optimistic about their own prospects, they expressed increasing concern about the general eco- nomic outlook for 2023.","(('Expectation', -0.3), ('Economy', -0.4), ('Growth', -0.3))",fomcminutes20221214.pdf,"['Expectation', 'Economy', 'Growth']","With regard to the business sector, participants noted that growth in investment spending appeared modest and was being restrained by high borrowing costs and an outlook for slow growth of final demand, although views on investment prospects varied across businesses and Districts. Based on discussions with District con- tacts as well as a survey of firms’ chief financial officers, some participants commented that while businesses were generally optimistic about their own prospects, they expressed increasing concern about the general eco- nomic outlook for 2023. Participants noted signs of continued easing in supply bottlenecks, with a couple cit- ing District contacts’ reports of declines in shipping costs and delivery times.","['Cyclically Sensitive Sectors', 'Finance', 'Money Market', 'Fiscal Policy', 'Uncertain', 'Economic outlook', 'Expectation', 'Uncertain', 'Risk', 'Cyclically Sensitive Sectors']"
"On a four-quarter change basis, total PCE price inflation was expected to be 5.5 percent in 2022, while core infla- tion was expected to be 4.7 percent, both lower than in the November projection.","(('Inflation', 0.5), ('Personal Consumption Expenditures (PCE)', 0.5), ('Expectation', 0.4))",fomcminutes20221214.pdf,"['Inflation', 'Personal Consumption Expenditures (PCE)', 'Expectation']","Likewise, the unemployment rate was expected to move above the staff’s estimate of its natural rate near the end of 2024 and remain above it in 2025. On a four-quarter change basis, total PCE price inflation was expected to be 5.5 percent in 2022, while core infla- tion was expected to be 4.7 percent, both lower than in the November projection. With the effects of supply– demand imbalances in goods markets expected to un- wind further and labor and product markets projected to become less tight, the staff continued to forecast that in- flation would decline markedly over the next two years.","['HIRE', 'Average Hourly Earnings', 'maximum employment', 'Personal Consumption Expenditures (PCE)', 'Inflation']"
"Inflation is elevated, largely reflecting factors that are expected to be transitory.","(('Inflation', -0.49), ('Transitory', -0.49),)",monetary20211103a1.pdf,"['Inflation', 'Transitory']","The sectors most adversely affected by the pandemic have improved in recent months, but the summer’s rise in COVID-19 cases has slowed their recovery. Inflation is elevated, largely reflecting factors that are expected to be transitory. Supply and demand imbalances related to the pandemic and the reopening of the economy have contributed to sizable price increases in some sectors.","['Pandemic', 'Inflation', 'Transitory', 'maximum employment', 'Price Stability', 'Personal Consumption Expenditures (PCE)', 'Pandemic', 'Demand', 'Inflation', 'Labor Market', 'Energy Prices']"
Infla- tion continued to run below 2 percent.,"(('Inflation',-0.66))",fomcminutes20210317.pdf,[],"They noted that following a moderation in the pace of the re- covery, indicators of economic activity and employment had turned up recently, although the sectors most ad- versely affected by the pandemic remained weak. Infla- tion continued to run below 2 percent. Overall financial conditions remained accommodative, in part reflecting policy measures to support the economy and the flow of Page 10 Federal Open Market Committee _____________________________________________________________________________________________ credit to U.S. households and businesses.","['Pandemic', 'Cyclically Sensitive Sectors', 'Federal Open Market Committee(FOMC)', 'Financial Stability', 'Credit', 'Federal Reserve', 'Federal Funds Target']"
"In addition to changes to the ON RRP parameters, the deputy manager also noted that the Federal Reserve could consider adjusting its administered rates if undue downward pressure on overnight rates emerged.","(('Repurchase Agreement (repo) Rates',0),( 'Overnight Rate',-0.5))",fomcminutes20210317.pdf,"['Repurchase Agreement (repo) Rates', 'Overnight Rate']","The staff would also monitor money market conditions on an ongoing basis to assess whether any additional adjustments were needed to the ON RRP fa- cility terms. In addition to changes to the ON RRP parameters, the deputy manager also noted that the Federal Reserve could consider adjusting its administered rates if undue downward pressure on overnight rates emerged. Re- sponses to the Desk surveys indicated that many market participants anticipated adjustments to the interest on excess reserves rate and the ON RRP rate at or before the June meeting.","['Overnight Reverse Repurchase Agreement (ON RRP)', 'domestic policy directive', 'Overnight Reverse Repurchase Agreement (ON RRP)', 'Federal Funds Rate', 'domestic policy directive', 'Overnight Rate', 'Federal Funds Target', 'Overnight Reverse Repurchase Agreement (ON RRP)', 'Reserves', 'Interest Rates', 'Federal Funds Rate', 'Repurchase Agreement (repo) Rates']"
That’s really what I was thinking.,"(('', ''),)",FOMCpresconf20240320.pdf,[''],"And, fortunately, with the economy growing, with the labor market strong, and with inflation coming down, we can approach that question carefully and let the data speak on that. That’s really what I was thinking. How much of that inflation that we’ve seen so far this year do you chalk up to one-off calendar adjustment effects following a period of high inflation versus some change in the trend we saw in the second half of last year?","['maximum employment', 'Labor Market', 'Inflation', 'Transitory', 'Price Stability']"
You’re seeing big increases in supply.,"(('Trade', 1),)",FOMCpresconf20240320.pdf,['Trade'],"You’re seeing high job growth. You’re seeing big increases in supply. You’re seeing strong wage growth, but wage growth is gradually moderating down to more sustainable levels.","['maximum employment', 'Cyclically Sensitive Sectors', 'maximum employment', 'Average Hourly Earnings', 'Growth', 'Cyclically Sensitive Sectors']"
"The—if you look at the incoming inflation data that we’ve had for January and February, I think very broadly that suggests that we were right to wait until we’re more confident.","(('Inflation', 0.33),)",FOMCpresconf20240320.pdf,['Inflation'],"I guess I’d put it this way: The—if you look at the incoming inflation data that we’ve had for January and February, I think very broadly that suggests that we were right to wait until we’re more confident. So I think, I think—I didn’t hear anyone dismissing it as not information that we should look at or anything like that.","['Price Stability', 'Economic outlook']"
"The Board of Governors also voted unan- imously to approve establishment of the primary credit rate at the existing level of 0.25 percent, effective March 18, 2021.","((''credit ''),)",fomcminutes20210317.pdf,[],"Consistent with the Committee’s decision to leave the target range for the federal funds rate unchanged, the Board of Governors voted unanimously to leave the in- terest rates on required and excess reserve balances at 0.10 percent. The Board of Governors also voted unan- imously to approve establishment of the primary credit rate at the existing level of 0.25 percent, effective March 18, 2021. Page 12 Federal Open Market Committee _____________________________________________________________________________________________","['Federal Funds Target', 'Federal Funds Rate', 'Board', 'Federal Open Market Committee(FOMC)', 'Interest on Excess Reserves (IOER)', 'Board', 'Federal Open Market Committee(FOMC)', 'Federal Funds Target', 'Board']"
"Overall, the credit quality of mu- nicipalities remained robust amid strong revenues at state and local governments.","(('Credit', 0.8), ('Finance', 0.7), ('Economy', 0.7))",fomcminutes20221214.pdf,"['Credit', 'Finance', 'Economy']","However, measures of expected default probabilities for corporate bonds and leveraged loans had increased from their levels at the beginning of the year in recent months. Overall, the credit quality of mu- nicipalities remained robust amid strong revenues at state and local governments. The credit quality of busi- nesses that borrow from banks remained sound on bal- ance.","['Bond Market', 'Debt', 'Term Premium', 'Credit', 'Credit']"
Several participants commented that they saw diminished risks of severe dis- ruption from the European Union’s embargo and the Group of Seven’s price cap on Russian oil exports.,"(('Risk', 0.6), ('Energy Prices', 0.4), ('Economy', 0.3))",fomcminutes20221214.pdf,"['Risk', 'Energy Prices', 'Economy']","Participants also discussed the developments Minutes of the Meeting of December 13–14, 2022 Page 7 _____________________________________________________________________________________________ in energy and agricultural sectors. Several participants commented that they saw diminished risks of severe dis- ruption from the European Union’s embargo and the Group of Seven’s price cap on Russian oil exports. A couple of participants noted that high costs for inputs like diesel, feed, and fertilizer were creating challenges for the agricultural sector.","['Energy Prices', 'Demand']"
"o Engage in dollar roll and coupon swap transactions as necessary to facilitate settlement of the Federal Reserve's agency MBS transactions.""","(('Federal Reserve', 0.84), ('Securities', 0.84), ('MBS', 0.84),)",monetary20250129a1.pdf,"['Federal Reserve', 'Securities', 'MBS']","o Allow modest deviations from stated amounts for reinvestments, if needed for operational reasons. o Engage in dollar roll and coupon swap transactions as necessary to facilitate settlement of the Federal Reserve's agency MBS transactions."" In a related action, the Board of Governors of the Federal Reserve System voted unanimously to approve the establishment of the primary credit rate at the existing level of 4.5 percent.","['Reinvestment', 'Market Liquidity', 'Digital Dollar', 'Federal Reserve', 'Treasury Securities', 'Monetary Policy', 'Overnight Reverse Repurchase Agreement (ON RRP)', 'Federal Funds Rate', 'Board', 'Interest on Excess Reserves (IOER)', 'Federal Reserve', 'Federal Open Market Committee(FOMC)']"
"In the near term, the 12-month change in PCE prices was expected to move above 2 percent as the low inflation readings from the spring of last year drop out of the calculation.","(('Inflation',-0.66),('Price Stability',-0.99),('Personal Consumption Expenditures (PCE)',0))",fomcminutes20210317.pdf,"['Inflation', 'Price Stability', 'Personal Consumption Expenditures (PCE)']","Participants observed that headline PCE inflation con- tinued to run below 2 percent. In the near term, the 12-month change in PCE prices was expected to move above 2 percent as the low inflation readings from the spring of last year drop out of the calculation. Most par- ticipants also pointed to supply constraints that could contribute to price increases for some goods in coming months as the economy continued to reopen.","['Personal Consumption Expenditures (PCE)', 'Inflation', 'Personal Consumption Expenditures (PCE)', 'Inflation', 'Demand', 'Inflation', 'Labor Market', 'Dual Mandate']"
"The economic outlook is uncertain, and the Committee is attentive to the risks to both sides of its dual mandate.","(('Federal Reserve', 0.58), ('Economy', 0.565),)",monetary20240731a1.pdf,"['Federal Reserve', 'Economy']","The Committee judges that the risks to achieving its employment and inflation goals continue to move into better balance. The economic outlook is uncertain, and the Committee is attentive to the risks to both sides of its dual mandate. In support of its goals, the Committee decided to maintain the target range for the federal funds rate at 5-1/4 to 5-1/2 percent.","['maximum employment', 'Balance', 'Dual Mandate', 'Uncertain', 'Risk', 'Dual Mandate', 'Economic outlook', 'Federal Funds Target', 'Federal Funds Rate', 'Federal Open Market Committee(FOMC)']"
"Consistent with the decline in volatility, model-based measures suggested that a drop in term premiums accounted for much of the decline in Treasury yields over the period.","(('Interest Rates', -0.05), ('Yields', -0.05))",fomcminutes20221214.pdf,"['Interest Rates', 'Yields']","Measures of implied volatility across financial markets declined somewhat from the elevated levels observed in October. Consistent with the decline in volatility, model-based measures suggested that a drop in term premiums accounted for much of the decline in Treasury yields over the period. Equity markets moved higher.","['Term Premium', 'Treasury Securities', 'Equity Markets', 'Financial Markets', 'Market Liquidity', 'Equity Price']"
Participants recognized that Russia’s war against Ukraine was causing tremendous human and economic hardship.,"(('War', -0.9), ('Economy', -0.7), ('Risk', -0.7))",fomcminutes20221214.pdf,"['War', 'Economy', 'Risk']","Inflation remained el- evated, reflecting supply and demand imbalances related to the pandemic, higher food and energy prices, and broader price pressures. Participants recognized that Russia’s war against Ukraine was causing tremendous human and economic hardship. The war and related events were contributing to upward pressure on inflation and were weighing on global economic activity.","['Inflation', 'Price Stability', 'Transitory', 'Energy Prices', 'Monetary Policy', 'War', 'Inflation', 'War', 'Price Stability', 'Transitory']"
"Thank you, Chair Powell.","(('', ''),)",FOMCpresconf20240320.pdf,[''],"Let’s go to Jennifer, for the last question. Thank you, Chair Powell. Jennifer Schonberger with Yahoo Finance.","['Chair', 'Powell']"
"In addition, the volume of nonfinancial corpo- rate credit rating upgrades modestly outpaced down- grades over the first two months of 2021.","(('Credit', 0.33),('Economy', 0.33),('Expectation', 0.33))",fomcminutes20210317.pdf,"['Credit', 'Economy', 'Expectation']","Corporate bond defaults declined in December and Jan- uary and reached levels substantially below their 2019 average. In addition, the volume of nonfinancial corpo- rate credit rating upgrades modestly outpaced down- grades over the first two months of 2021. Market indi- cators of future default expectations moved lower.",['Expectation']
"And then it would be very hard to restart, we think.","(('', ''),)",FOMCpresconf20240320.pdf,[''],"And those parts where they’re not ample, there can be stress, and that can cause you to prematurely stop the process to avoid the stress. And then it would be very hard to restart, we think. So something like that happened in ’19 perhaps.",[]
